"Pomelo", 48.23, 774
"Melón", 95.99, 364
"Pera", 145.39, 820
"Pomelo", 49.40, 792
"Zanahoria", 37.34, 624
"Durazno", 174.81, 768
"Durazno", 266.17, 776
"Lima", 1028.02, 226
"Espárrago", 635.57, 194
"Pera", 142.42, 860
"Limon", 303.78, 728
"Frambuesa", 2039.75, 114
"Cebolla", 64.50, 936
"Lima", 1200.80, 184
"Melón", 109.42, 420
"Alcachofa", 142.19, 312
"Berenjena", 48.81, 624
"Choclo", 66.42, 357
"Repollo", 9.61, 812
"Lima", 1241.17, 198
"Acelga", 17.89, 765
"Uva", 691.03, 255
"Ciruela", 911.00, 828
"Alcachofa", 152.70, 279
"Zuccini", 84.17, 606
"Lechuga", 39.40, 792
"Cebolla", 63.15, 776
"Palta", 468.43, 455
"Pera", 145.14, 890
"Kinoto", 33.39, 162
"Manzana", 166.71, 1070
"Papa", 23.93, 1180
"Lima", 1382.01, 240
"Uva", 713.07, 336
"Zanahoria", 27.55, 486
"Mandarina", 22.28, 860
"Lima", 1374.25, 224
"Papa", 14.08, 950
"Zuccini", 92.12, 600
"Apio", 55.66, 330
"Tomate", 763.14, 882
"Lima", 1034.27, 206
"Calabaza", 16.58, 960
"Ajo", 893.97, 82
"Choclo", 71.07, 267
"Limon", 288.92, 637
"Zuccini", 86.05, 720
"Calabaza", 23.01, 744
"TomCherry", 580.43, 192
"Palta", 510.44, 455
"Melón", 101.69, 360
"Mandarina", 18.98, 960
"Brócoli", 365.48, 348
"Ciruela", 970.30, 909
"Sandía", 56.41, 729
"Zanahoria", 31.61, 720
"Lechuga", 44.31, 918
"Naranja", 16.76, 830
"Ajo", 909.97, 104
"Naranja", 15.73, 880
"Pomelo", 46.98, 999
"Lima", 1372.10, 162
"Batata", 23.71, 840
"Sandía", 55.48, 855
"Pepino", 35.25, 460
"Lima", 1342.23, 214
"Naranja", 10.79, 1200
"Uva", 725.56, 285
"Berenjena", 41.53, 690
"Pepino", 34.87, 400
"Berenjena", 52.03, 528
"Brócoli", 345.33, 340
"Naranja", 15.18, 940
"Kinoto", 45.84, 184
"Naranja", 12.57, 1050
"Durazno", 143.17, 752
"Berenjena", 49.51, 516
"Rabanito", 206.35, 306
"Calabaza", 19.06, 960
"Berenjena", 49.78, 678
"Uva", 688.31, 360
"Brócoli", 337.69, 348
"Ajo", 904.88, 96
"Cebolla", 53.65, 904
"Kinoto", 29.02, 194
"Berenjena", 44.08, 522
"Berenjena", 39.03, 630
"Lechuga", 37.69, 738
"Lima", 1373.59, 216
"Limon", 316.37, 770
"Morrón", 2919.69, 588
"Frutilla", 300.28, 318
"Lima", 1057.50, 198
"Berenjena", 55.16, 510
"Cereza", 995.37, 174
"Naranja", 12.69, 1040
"Champignon", 3656.58, 87
"Kinoto", 39.04, 170
"Durazno", 162.20, 808
"Durazno", 147.92, 920
"Cebolla", 86.90, 696
"Rabanito", 222.94, 252
"Kinoto", 41.00, 234
"Pera", 159.12, 1140
"Lima", 1227.98, 216
"Naranja", 16.87, 840
"Frambuesa", 2129.62, 108
"Brócoli", 343.03, 396
"Alcachofa", 128.43, 243
"Acelga", 23.42, 792
"Palta", 1123.81, 448
"Ajo", 905.43, 100
"Banana", 60.49, 850
"Limon", 315.51, 798
"Higo", 2486.82, 113
"Papa", 14.72, 840
"Frambuesa", 2138.21, 94
"Alcachofa", 135.72, 300
"Lechuga", 40.33, 1044
"Coliflor", 22.28, 435
"Caqui", 796.93, 116
"TomCherry", 532.22, 230
"Cereza", 1050.68, 204
"Naranja", 11.69, 1140
"Morrón", 2897.07, 510
"Caqui", 892.88, 117
"Durazno", 180.73, 928
"Limon", 321.09, 679
"Durazno", 146.50, 704
"Limon", 326.92, 658
"Durazno", 158.10, 960
"Papa", 22.43, 1020
"Tomate", 707.46, 927
"Frambuesa", 2071.17, 87
"Higo", 2530.43, 93
"Durazno", 295.21, 784
"Durazno", 279.03, 880
"Frutilla", 300.27, 315
"Apio", 63.59, 336
"Pomelo", 35.46, 882
"Melón", 114.88, 412
"Apio", 67.75, 321
"Durazno", 163.39, 864
"TomCherry", 557.85, 188
"Kiwi", 417.94, 464
"Lima", 1381.25, 162
"Ajo", 930.23, 95
"Coliflor", 22.93, 565
"Espárrago", 606.23, 172
"Durazno", 172.08, 704
"Durazno", 175.07, 816
"Lima", 1239.19, 222
"Apio", 60.60, 285
"Mandarina", 22.78, 1110
"Pomelo", 35.13, 990
"Caqui", 818.73, 115
"Ajo", 868.56, 112
"Kinoto", 33.51, 162
"Alcachofa", 153.37, 321
"Papa", 19.63, 860
"Papa", 21.51, 870
"Melón", 106.09, 364
"Manzana", 160.66, 1090
"Repollo", 3.21, 630
"Papa", 21.88, 920
"Lechuga", 37.79, 1026
"Durazno", 162.52, 816
"Mandarina", 25.38, 1170
"Alcachofa", 133.56, 261
"Kiwi", 435.38, 328
"Repollo", 4.86, 707
"Sandía", 59.36, 1008
"Kiwi", 429.15, 372
"Mandarina", 24.94, 1010
"Berenjena", 47.76, 540
"Champignon", 3643.94, 114
"Alcachofa", 134.55, 360
"Pomelo", 57.41, 1071
"Acelga", 14.01, 729
"Tomate", 781.46, 927
"Espárrago", 662.91, 186
"Espárrago", 621.47, 202
"Palta", 1107.44, 448
"Frutilla", 293.02, 318
"Espárrago", 624.87, 192
"Coliflor", 24.05, 400
"Banana", 68.37, 870
"Batata", 16.66, 1110
"Morrón", 2933.24, 480
"Lima", 1385.35, 236
"Apio", 55.59, 354
"Batata", 18.90, 950
"Caqui", 857.13, 104
"Frutilla", 264.45, 264
"Zuccini", 94.24, 690
"Cereza", 982.68, 190
"Acelga", 15.47, 1053
"Higo", 2521.61, 98
"Pera", 133.35, 940
"Repollo", 7.28, 826
"Cebolla", 71.13, 696
"Ciruela", 950.84, 936
"Kiwi", 418.81, 356
"Berenjena", 40.93, 672
"Apio", 50.39, 297
"Ciruela", 985.43, 765
"Pomelo", 42.99, 774
"Morrón", 2879.56, 480
"Tomate", 734.97, 837
"Durazno", 245.56, 776
"Cereza", 992.07, 178
"Manzana", 148.58, 920
"Limon", 326.43, 637
"Zanahoria", 29.34, 480
"Cereza", 1039.12, 212
"Lima", 1268.86, 200
"Uva", 690.11, 360
"Pepino", 46.43, 425
"Frambuesa", 2063.58, 91
"Rabanito", 243.64, 330
"Frambuesa", 2124.20, 101
"Zuccini", 86.01, 498
"Mandarina", 11.70, 840
"Rabanito", 256.94, 309
"Pomelo", 51.68, 936
"Choclo", 56.06, 318
"Batata", 19.14, 950
"Calabaza", 12.90, 768
"Acelga", 20.72, 837
"Espárrago", 561.55, 204
"Uva", 717.94, 282
"Durazno", 273.24, 952
"Naranja", 9.38, 920
"TomCherry", 543.32, 186
"Choclo", 56.02, 279
"Durazno", 260.02, 928
"Sandía", 42.46, 999
"Ciruela", 950.85, 774
"Apio", 56.12, 243
"Frambuesa", 2121.14, 112
"Durazno", 152.75, 800
"Morrón", 2821.62, 528
"Frambuesa", 2091.57, 105
"Acelga", 24.44, 990
"Lechuga", 35.35, 855
"Pepino", 31.98, 530
"Melón", 128.98, 344
"Lima", 1033.20, 230
"Pera", 158.89, 1100
"Ciruela", 991.67, 873
"Zuccini", 97.67, 540
"Zuccini", 79.72, 660
"Batata", 20.70, 1030
"Durazno", 282.95, 840
"Brócoli", 373.89, 448
"Berenjena", 56.59, 660
"Kiwi", 427.54, 432
"Manzana", 121.12, 890
"Coliflor", 31.02, 470
"Morrón", 2904.19, 480
"Papa", 20.72, 1050
"Rabanito", 226.60, 240
"Ajo", 857.73, 101
"Naranja", 19.15, 1180
"Lechuga", 32.09, 936
"Caqui", 774.73, 117
"Zuccini", 83.24, 714
"Sandía", 63.45, 927
